date,event,fights
2026-01-24,UFC 324: Gaethje vs. Pimblett,11
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,13
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,13
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,13
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,13
2026-03-07,UFC 326: Holloway vs. Oliveira 2,12
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,14
2026-03-21,UFC Fight Night: Evloev vs. Murphy,13
2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,12
2026-04-04,UFC Fight Night: Moicano vs. Duncan,13
2026-04-11,UFC 327: Prochazka vs. Ulberg,11
2026-04-18,UFC Fight Night: Burns vs. Malott,11
2026-04-25,UFC Fight Night: Sterling vs. Zalal,13
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,13
2026-05-09,UFC 328: Chimaev vs. Strickland,13
2026-05-16,UFC Fight Night: Allen vs. Costa,13
2026-05-30,UFC Fight Night: Song vs. Figueiredo,12
2026-06-06,UFC Fight Night: Muhammad vs. Bonfim,12
2026-06-14,UFC Freedom 250,7
2026-06-20,UFC Fight Night: Kape vs. Horiguchi,12
2026-06-27,UFC Fight Night: Fiziev vs. Torres,13
2026-07-11,UFC 329: McGregor vs. Holloway 2,14
2026-07-18,UFC Fight Night: Du Plessis vs. Usman,12
2026-07-25,UFC Fight Night: Ankalaev vs. Guskov,12
2026-08-01,UFC Fight Night: Medic vs. Rodriguez,14
2026-08-08,UFC Fight Night: Gamrot vs. Salkilld,12
2026-08-15,UFC 330: Makhachev vs. Machado Garry,12
2026-08-22,UFC Fight Night: Hernandez vs. Rodrigues,13
